Sequence,survey.status,dev.status,ecosystem,upgr.backport,Count: 31
1,finished,user,Node.js/NPM,NA,
2,finished,developer,Node.js/NPM,Somewhat disagree,
3,finished,developer,Node.js/NPM,Somewhat disagree,
4,finished,developer,Python/PyPi,Strongly disagree,
5,finished,developer,Ruby/Rubygems,Neither agree nor disagree,
6,finished,user,Node.js/NPM,NA,
7,finished,developer,Node.js/NPM,Somewhat agree,
8,finished,developer,Haskell (Cabal/Hackage),Strongly disagree,
9,finished,user,Node.js/NPM,NA,
10,finished,developer,Node.js/NPM,Strongly agree,
11,finished,user,other,NA,
12,finished,developer,Node.js/NPM,Somewhat agree,
13,finished,user,Node.js/NPM,NA,
14,finished,user,Node.js/NPM,NA,
15,finished,developer,Node.js/NPM,Somewhat agree,
16,finished,user,Node.js/NPM,NA,
17,finished,developer,Python/PyPi,Strongly disagree,
18,finished,developer,Rust/Cargo,Somewhat disagree,
19,finished,user,Python/PyPi,NA,
20,finished,developer,Python/PyPi,Strongly disagree,
21,finished,developer,Node.js/NPM,Strongly disagree,
22,finished,developer,Node.js/NPM,Somewhat disagree,
23,finished,developer,Rust/Cargo,Strongly disagree,
24,finished,developer,PHP/Packagist,Somewhat disagree,
25,finished,developer,PHP/Packagist,Strongly disagree,
26,finished,user,"Erlang,Elixir/Hex",NA,
27,finished,developer,Node.js/NPM,Somewhat disagree,
28,finished,user,Atom (plugins),NA,
29,finished,developer,Node.js/NPM,Strongly disagree,
30,finished,developer,Rust/Cargo,Somewhat disagree,
31,finished,developer,Node.js/NPM,Strongly agree,
32,finished,developer,Node.js/NPM,Strongly disagree,
33,finished,developer,NuGet,Neither agree nor disagree,
34,finished,developer,Node.js/NPM,Strongly disagree,
35,finished,developer,Node.js/NPM,Somewhat disagree,
1372,finished,developer,Maven,Somewhat agree,Don't: 20
37,finished,developer,Node.js/NPM,Strongly disagree,
38,finished,user,Python/PyPi,NA,
39,finished,developer,Ruby/Rubygems,Strongly disagree,
40,finished,user,Node.js/NPM,NA,
41,finished,developer,Node.js/NPM,Strongly disagree,
42,finished,developer,Node.js/NPM,Strongly disagree,
43,finished,user,Node.js/NPM,NA,
